KEGG_name,KEGG_classification,gene_name,count
hsa00010_Glycolysis_/_Gluconeogenesis,Carbohydrate metabolism,ADH1A/ADH5/ADH6/ADPGK/AKR1A1/ALDH1B1/ALDH2/ALDH3A1/ALDH3A2/ALDH3B1/ALDH3B2/ALDH7A1/ALDH9A1/ALDOA/ALDOB/ALDOC/BPGM/DLAT/DLD/ENO1/ENO2/ENO3/FBP1/G6PC3/GCK/GPI/HK1/HK2/HK3/HKDC1/LDHA/LDHAL6B/LDHB/LDHC/MINPP1/PCK1/PCK2/PDHA1/PDHB/PFKM/PFKP/PGAM1/PGK1/PGM1/PKLR/TPI1,46
hsa00020_Citrate_cycle_(TCA_cycle),Carbohydrate metabolism,ACLY/ACO1/ACO2/CS/DLAT/DLD/FH/IDH1/IDH2/IDH3B/IDH3G/MDH1/MDH2/OGDH/OGDHL/PC/PCK1/PCK2/PDHA1/PDHB/SDHA/SDHB/SDHC/SDHD/SUCLA2/SUCLG1/SUCLG2,27
hsa00030_Pentose_phosphate_pathway,Carbohydrate metabolism,ALDOA/ALDOB/ALDOC/DERA/FBP1/G6PD/GPI/H6PD/PFKM/PFKP/PGD/PGLS/PGM1/PRPS1/PRPS2/RGN/RPE/RPIA/TALDO1/TKT/TKTL1,21
hsa00040_Pentose_and_glucuronate_interconversions,Carbohydrate metabolism,AKR1A1/AKR1B1/CRYL1/DCXR/FGGY/GUSB/KL/RPE/SORD/UGDH/UGP2/UGT2B17/XYLB,13
hsa00051_Fructose_and_mannose_metabolism,Carbohydrate metabolism,AKR1B1/ALDOA/ALDOB/ALDOC/ENOSF1/FBP1/GMDS/GMPPA/HK1/HK2/HK3/HKDC1/KHK/MPI/PFKFB1/PFKFB2/PFKFB3/PFKFB4/PFKM/PFKP/PMM1/PMM2/SORD/TPI1,24
hsa00052_Galactose_metabolism,Carbohydrate metabolism,AKR1B1/B4GALT1/B4GALT2/G6PC3/GAA/GALK1/GALT/GCK/GLA/HK1/HK2/HK3/HKDC1/MGAM/PFKM/PFKP/PGM1/UGP2,18
hsa00053_Ascorbate_and_aldarate_metabolism,Carbohydrate metabolism,AKR1A1/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/GUSB/KL/RGN/UGDH/UGT2B17,11
hsa00061_Fatty_acid_biosynthesis,Lipid metabolism,ACACB/ACSBG1/ACSBG2/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/CBR4/FASN/MCAT/MECR/OLAH/OXSM,14
hsa00062_Fatty_acid_elongation,Lipid metabolism,ACAA2/ACOT7/ELOVL2/ELOVL5/ELOVL6/HADH/HADHA/HADHB/HSD17B12/MECR/PPT1,11
hsa00071_Fatty_acid_degradation,Lipid metabolism,ACAA1/ACAA2/ACADL/ACADM/ACADS/ACADSB/ACADVL/ACAT1/ACAT2/ACOX1/ACOX3/ACSBG1/ACSBG2/ACSL1/ACSL3/ACSL4/ACSL5/ACSL6/ADH1A/ADH5/ADH6/ALDH1B1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/CPT1A/CPT2/CYP2U1/EHHADH/GCDH/HADH/HADHA/HADHB,34
hsa00100_Steroid_biosynthesis,Lipid metabolism,CEL/CYP27B1/CYP2R1/DHCR24/DHCR7/EBP/FDFT1/LBR/LIPA/LSS/NSDHL/SOAT1/SOAT2/SQLE,14
hsa00120_Primary_bile_acid_biosynthesis,Lipid metabolism,ACOT8/ACOX2/AKR1D1/BAAT/CH25H/CYP27A1/CYP39A1/CYP46A1/CYP7A1/CYP7B1/HSD17B4/SCP2/SLC27A5,13
hsa00130_Ubiquinone_and_other_terpenoid-quinone_biosynthesis,Metabolism of cofactors and vitamins,COQ2/COQ3/COQ6/COQ7/GGCX/HPD/NQO1/TAT/VKORC1,9
hsa00140_Steroid_hormone_biosynthesis,Lipid metabolism,AKR1C1/AKR1C3/AKR1D1/CYP11A1/CYP17A1/CYP19A1/CYP1A1/CYP1B1/CYP2E1/CYP3A4/CYP3A5/CYP7A1/CYP7B1/HSD11B2/HSD17B1/HSD17B11/HSD17B12/HSD17B2/HSD17B6/SRD5A1/SRD5A3/STS/SULT2B1/UGT2B17,24
hsa00190_Oxidative_phosphorylation,Energy metabolism,ATP12A/ATP4A/ATP6AP1/ATP6V0A2/ATP6V0A4/ATP6V0B/ATP6V0E1/ATP6V0E2/ATP6V1A/ATP6V1B2/ATP6V1C1/ATP6V1D/ATP6V1E1/ATP6V1G1/ATP6V1H/COX10/COX11/COX15/COX4I1/COX5A/COX5B/COX6B1/COX6C/COX7A2/COX7A2L/COX7B/COX7C/CYC1/CYCS/LHPP/NDUFA1/NDUFA10/NDUFA13/NDUFA2/NDUFA3/NDUFA4/NDUFA4L2/NDUFA5/NDUFA6/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB11/NDUFB2/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFC1/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS6/NDUFS7/NDUFV1/NDUFV2/PPA1/PPA2/SDHA/SDHB/SDHC/SDHD/TCIRG1/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRQ,71
hsa00220_Arginine_biosynthesis,Amino acid metabolism,ARG1/ARG2/ASL/ASS1/CPS1/GLS/GLS2/GLUD1/GLUD2/GLUL/GOT1/GOT2/GPT/NOS1/NOS2/NOS3,16
